c_ine;no_municipio;id_provincia;is_capital_prov;is_capital_comaut;nu_poblacion;geo_latitude_etrs89;geo_longitude_etrs89;geo_altura;geo_superficie;geo_perimetro;geo_hoja_etrs89
25239;VALLS DE VALIRA, LES;25;0;0;794;42,38295;1,458096;739;16943;100077;0215-4
25909;VANSA I FÓRNOLS, LA;25;0;0;166;42,23347;1,480026;991;10630;54955;0253-4
25242;VERDÚ;25;0;0;851;41,61105;1,143448;433;3584;24441;0389-2
25243;VIELHA E MIJARAN;25;0;0;5581;42,70143;0,7959531;974;21085;80625;0148-4
25244;VILAGRASSA;25;0;0;605;41,64833;1,10597;355;1967;28290;0389-2
25245;VILALLER;25;0;0;532;42,47657;0,7171546;978;5864;62174;0213-2
25247;VILAMÒS;25;0;0;172;42,7474;0,7268951;1256;1536;30819;0148-4
25248;VILANOVA DE BELLPUIG;25;0;0;1179;41,61471;0,9608678;290;1390;17926;0389-1
25254;VILANOVA DE LA BARCA;25;0;0;1110;41,68943;0,7262651;193;2139;21528;0359-4
25249;VILANOVA DE L'AGUDA;25;0;0;200;41,91124;1,252527;403;5350;43826;0329-3
25250;VILANOVA DE MEIÀ;25;0;0;413;41,9954;1,022912;629;10519;64455;0328-2
25251;VILANOVA DE SEGRIÀ;25;0;0;1021;41,71179;0,6203188;253;848;16582;0359-3
25252;VILA-SANA;25;0;0;767;41,66222;0,9259551;247;1898;20668;0389-1
25253;VILOSELL, EL;25;0;0;195;41,38396;0,9471772;663;1884;22152;0417-3
25255;VINAIXA;25;0;0;465;41,42851;0,9755609;480;3747;30037;0417-1
26001;ÁBALOS;26;0;0;260;42,57305;-2,711309;590;1821;19454;0170-3
26002;AGONCILLO;26;0;0;1175;42,44592;-2,29165;346;3489;41117;0204-2
26003;AGUILAR DEL RÍO ALHAMA;26;0;0;442;41,9617;-1,994122;638;5410;36777;0319-2
26004;AJAMIL DE CAMEROS;26;0;0;68;42,16751;-2,487625;1039;6615;50796;0280-1
26005;ALBELDA DE IREGUA;26;0;0;3591;42,35698;-2,472607;537;2303;24864;0204-3
26006;ALBERITE;26;0;0;2582;42,40622;-2,440841;449;2023;23475;0204-3
26007;ALCANADRE;26;0;0;647;42,4043;-2,120533;348;3108;31394;0205-3
26008;ALDEANUEVA DE EBRO;26;0;0;2786;42,22959;-1,888055;343;3908;34327;0243-4
26009;ALESANCO;26;0;0;481;42,41348;-2,817054;567;1716;22491;0203-3
26010;ALESÓN;26;0;0;90;42,4051;-2,69021;575;649;12866;0203-3
26011;ALFARO;26;0;0;9727;42,1784;-1,749283;300;19374;79946;0244-3
26012;ALMARZA DE CAMEROS;26;0;0;37;42,21595;-2,597849;1061;2810;26861;0241-4
26013;ANGUCIANA;26;0;0;446;42,57393;-2,90017;473;505;11282;0169-4
26014;ANGUIANO;26;0;0;524;42,26131;-2,764149;661;9090;64860;0241-1
26015;ARENZANA DE ABAJO;26;0;0;267;42,38657;-2,719458;542;838;13292;0203-3
26016;ARENZANA DE ARRIBA;26;0;0;36;42,38786;-2,694912;598;592;13944;0203-3
26017;ARNEDILLO;26;0;0;450;42,21176;-2,235094;655;4833;35323;0242-4
26018;ARNEDO;26;0;0;15017;42,22816;-2,09984;525;8539;51561;0243-3
26019;ARRÚBAL;26;0;0;568;42,43518;-2,251771;355;762;11676;0204-2
26020;AUSEJO;26;0;0;786;42,34532;-2,169919;563;5657;29223;0205-3
26021;AUTOL;26;0;0;4788;42,21379;-2,007303;462;8528;41171;0243-4
26022;AZOFRA;26;0;0;209;42,42322;-2,800469;555;1183;18239;0203-1
26023;BADARÁN;26;0;0;500;42,36744;-2,808262;623;2068;22000;0203-3
26024;BAÑARES;26;0;0;206;42,46888;-2,910801;595;2958;34644;0202-2
26026;BAÑOS DE RÍO TOBÍA;26;0;0;1589;42,33384;-2,7589;576;1759;18528;0241-1
26025;BAÑOS DE RIOJA;26;0;0;82;42,51223;-2,945796;550;923;15527;0169-4
26027;BERCEO;26;0;0;143;42,33824;-2,852841;732;1527;34718;0203-3
26028;BERGASA;26;0;0;160;42,25235;-2,13059;648;2709;32671;0243-1
26029;BERGASILLAS BAJERA;26;0;0;33;42,24455;-2,159122;844;970;13358;0243-3
26030;BEZARES;26;0;0;25;42,37046;-2,670949;698;461;10562;0203-4
26031;BOBADILLA;26;0;0;93;42,31737;-2,760056;587;466;11025;0241-1
26032;BRIEVA DE CAMEROS;26;0;0;46;42,16487;-2,794594;968;4614;43417;0279-1
26033;BRIÑAS;26;0;0;190;42,60073;-2,832228;456;243;7351;0170-1
26034;BRIONES;26;0;0;722;42,5432;-2,785434;502;3769;33688;0170-3
26035;CABEZÓN DE CAMEROS;26;0;0;19;42,19629;-2,519731;915;1201;17285;0241-4
26036;CALAHORRA;26;0;0;24654;42,30156;-1,960974;358;9356;51643;0243-2
26037;CAMPROVÍN;26;0;0;171;42,35398;-2,723125;667;2044;24740;0203-3
26038;CANALES DE LA SIERRA;26;0;0;83;42,1438;-3,024601;1026;5443;39870;0278-1
26039;CANILLAS DE RÍO TUERTO;26;0;0;40;42,39847;-2,840913;624;360;9793;0203-3
26040;CAÑAS;26;0;0;89;42,39159;-2,846702;644;971;15485;0203-3
26041;CÁRDENAS;26;0;0;128;42,3743;-2,76664;566;398;9016;0203-3
26042;CASALARREINA;26;0;0;1074;42,54868;-2,910564;500;813;13186;0169-4
26043;CASTAÑARES DE RIOJA;26;0;0;395;42,51195;-2,932224;542;1093;14666;0169-4
26044;CASTROVIEJO;26;0;0;48;42,329;-2,661092;967;2075;22470;0241-2
26045;CELLORIGO;26;0;0;9;42,62733;-3,000085;792;1243;15917;0169-2
26046;CENICERO;26;0;0;2073;42,4816;-2,642441;436;3181;31373;0203-2
26047;CERVERA DEL RÍO ALHAMA;26;0;0;2273;42,00726;-1,954072;549;15258;68446;0281-4
26048;CIDAMÓN;26;0;0;23;42,4952;-2,879913;583;1579;30897;0202-2
26049;CIHURI;26;0;0;186;42,56499;-2,923211;487;975;15315;0169-4
26050;CIRUEÑA;26;0;0;194;42,41096;-2,896482;755;1214;14647;0202-4
26051;CLAVIJO;26;0;0;300;42,34949;-2,425076;898;1965;24486;0204-3
26052;CORDOVÍN;26;0;0;153;42,38501;-2,814585;594;459;10800;0203-3
26053;CORERA;26;0;0;286;42,34314;-2,219358;522;819;16493;0204-4
26054;CORNAGO;26;0;0;310;42,06547;-2,095378;750;8053;47260;0281-3
26055;CORPORALES;26;0;0;36;42,43191;-2,994982;734;841;17170;0202-2
26056;CUZCURRITA DE RÍO TIRÓN;26;0;0;526;42,54159;-2,964647;520;1918;29802;0169-4
26057;DAROCA DE RIOJA;26;0;0;56;42,37107;-2,582041;726;1129;17219;0203-4
26058;ENCISO;26;0;0;172;42,14939;-2,270159;814;6968;39499;0280-2
26059;ENTRENA;26;0;0;1632;42,38866;-2,531384;561;2103;22605;0203-4
26060;ESTOLLO;26;0;0;82;42,32914;-2,850314;749;1614;22935;0241-1
26061;EZCARAY;26;0;0;2055;42,32595;-3,014411;814;14284;53896;0240-2
26062;FONCEA;26;0;0;93;42,61544;-3,038615;699;2272;23113;0169-1
26063;FONZALECHE;26;0;0;138;42,58127;-3,012028;559;1699;18789;0169-4
26064;FUENMAYOR;26;0;0;3227;42,46727;-2,562058;433;3424;33819;0203-2
26065;GALBÁRRULI;26;0;0;75;42,62156;-2,961368;646;1543;16690;0169-2
26066;GALILEA;26;0;0;387;42,34786;-2,237512;563;974;22854;0204-4
26067;GALLINERO DE CAMEROS;26;0;0;17;42,17266;-2,618102;1060;1117;16447;0241-4
26068;GIMILEO;26;0;0;109;42,55028;-2,821645;482;398;10109;0170-3
26069;GRAÑÓN;26;0;0;250;42,45028;-3,028058;725;3101;33472;0202-1
26070;GRÁVALOS;26;0;0;178;42,1086;-2,00139;767;3100;33241;0281-2
26071;HARO;26;0;0;11634;42,57806;-2,845815;478;4063;39531;0170-3
26072;HERCE;26;0;0;321;42,21452;-2,165579;605;1721;24734;0243-3
26073;HERRAMÉLLURI;26;0;0;104;42,50238;-3,019926;570;1087;14888;0169-3
26074;HERVÍAS;26;0;0;127;42,44793;-2,887604;641;1414;20099;0202-2
26075;HORMILLA;26;0;0;443;42,43776;-2,774549;516;1585;18885;0203-1
