c_postal;id_provincia;c_ine
34248;34;34070
10520;10;10182
04660;4;4017
32534;32;32019
50259;50;50214
32811;32;32068
49624;49;49205
08504;8;8220
09226;9;9095
19115;19;19021
43718;43;43002
49572;49;49094
26133;26;26077
24550;24;24038
24434;24;24196
49330;49;49231
49394;49;49174
31176;31;31120
05229;5;5208
09641;9;9119
06907;6;6086
35628;35;35015
15686;15;15038
26257;26;26024
33919;33;33044
38009;38;38038
27307;27;27022
25714;25;25906
37630;37;37068
06410;6;6120
33695;33;33033
37799;37;37130
38412;38;38031
08184;8;8156
14298;14;14029
04899;4;4083
38415;38;38031
44147;44;44074
15978;15;15071
36596;36;36024
05695;5;5097
08006;8;8019
45635;45;45164
28223;28;28115
12163;12;12051
31671;31;31033
39200;39;39059
22536;22;22052
17134;17;17195
30570;30;30030
33888;33;33001
40180;40;40033
09141;9;9001
39718;39;39037
22466;22;22062
26121;26;26165
39230;39;39094
40146;40;40107
50369;50;50138
47192;47;47041
48191;48;48086
24358;24;24223
27595;27;27016
48500;48;48002
50194;50;50297
06196;6;6040
33866;33;33059
19128;19;19106
08911;8;8015
31173;31;31193
44155;44;44185
12186;12;12098
18470;18;18183
37428;37;37224
17161;17;17116
15996;15;15071
09245;9;9052
36969;36;36027
45126;45;45096
07183;7;7011
08818;8;8148
32536;32;32035
24448;24;24115
40165;40;40224
06894;6;6032
18600;18;18140
25370;25;25034
39549;39;39080
29311;29;29095
27861;27;27066
36529;36;36020
32645;32;32016
28053;28;28079
19333;19;19265
27631;27;27055
36883;36;36009
16269;16;16174
02420;2;2037
24620;24;24061
09213;9;9102
19245;19;19231
01321;1;1031
11393;11;11007
46353;46;46213
28743;28;28062
16813;16;16193
32644;32;32016
32793;32;32058
02449;2;2030
34477;34;34228
31448;31;31242
39627;39;39074
01220;1;1047
29329;29;29088
28791;28;28144
29327;29;29089
36870;36;36030
37185;37;37354
01322;1;1039
14549;14;14060
14960;14;14058
31227;31;31162
23400;23;23092
22212;22;22079
21510;21;21063
36794;36;36036
36729;36;36055
03860;3;3084
48100;48;48069
10690;10;10148
09216;9;9109
29461;29;29052
27514;27;27016
14249;14;14029
23659;23;23098
24271;24;24092
15404;15;15036
15325;15;15070
40292;40;40012
24150;24;24201
38380;38;38051
07160;7;7011
12415;12;12076
17004;17;17079
31522;31;31173
06010;6;6015
04879;4;4096
15150;15;15093
37408;37;37382
04721;4;4102
11160;11;11007
37170;37;37365
41019;41;41091
14719;14;14021
22592;22;22172
05635;5;5165
49834;49;49002
46135;46;46117
03580;3;3011
45677;45;45148
08787;8;8152
08194;8;8238
24228;24;24175
25217;25;25039
35108;35;35019
19160;19;19105
26550;26;26125
32137;32;32061
25172;25;25142
05571;5;5151
24717;24;24185
24886;24;24183
17535;17;17134
38890;38;38021
09211;9;9134
32747;32;32057
28860;28;28104
30739;30;30037
43480;43;43171
28140;28;28059
28160;28;28145
28701;28;28134
03176;3;3012
07190;7;7007
37726;37;37102
29540;29;29015
